[15:22:35] Log system initialized successfully.
[15:22:35] SDL_VID initialized successfully.
[15:22:35] SDL_IMG initialized successfully.
[15:22:35] SDL_MIX initialized successfully
[15:22:35] SDL_TTF initialized successfully
[15:22:35] Window created successfully.
[15:22:35] Renderer created successfully.
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35](Warning) Lag of 2 ms
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35](Warning) Lag of 7 ms
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35](Warning) Lag of 8 ms
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:35] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
[15:22:36] player is not grounded
